videoId,title,publishedAt,duration,views,likes,comments,tags,categoryId,channel
BodMeEYaRS8,Quite the first impression... | My Fault London | #primevideoindia,2025-01-31 15:12:50+00:00,1.3333333333333333,29583,834,5,"['2025', 'Amazon', 'Amazon Prime Video', 'Asha Banks', 'Coming Soon', 'Matthew Broome', 'My Fault London', 'MyFaultLondon', 'MyFaultLondonOnPrime', 'Official Trailer', 'Prime Video', 'PrimeVideo', 'film', 'romantic', 'trailer', 'my fault', 'my fault london', 'my fault london trailer', 'my fault london full movie', 'my fault london movie', 'my fault london release date', 'my fault london cast', 'my fault london scene', 'new trailer', 'trailer 2025', 'prime video trailer', 'latest on prime', 'amazon prime', 'prime video', 'prime video india']",24,Prime Video India
ftFDjsO1aQQ,Wait Till The End 😭 | Funny Scene | Mumbai Saga | #primevideoindia,2025-01-31 13:09:10+00:00,0.35,201823,6419,73,"['harsh sharma', 'mumbai saga', 'harsh sharma mumbai saga', 'funny', 'funny videos', 'funny video', 'funny moment', 'funny moments', 'funny meme', 'funny shorts', 'top funny videos', 'celebrity funny', 'most funny video', 'funny videos 2024', 'mumbai saga movie', 'mumbai saga full movie', 'mumbai saga cast', 'mumbai saga first look', 'mumbai saga status', 'mumbai saga full movie hd', 'amazon prime', 'prime video', 'prime video india', 'shorts', 'viral video', 'viral shorts', 'comedy shorts', 'savage scene', 'funny scene']",24,Prime Video India
Ecwy_j_kma0,Deepika Padukone and Siddhant Chaturvedi's Chemistry Is Off The Charts| Gehraiyaan |#primevideoindia,2025-01-31 11:42:45+00:00,1.0,86535,1688,9,"['deepika padukone', 'siddhant chaturvedi', 'deepika padukone movies', 'deepika padukone new movie', 'siddhant chaturvedi movies', 'siddhant chaturvedi new movie', 'gehraiyaan deepika padukone', 'gehraiyaan siddhant chaturvedi', 'gehraiyaan', 'gehraiyaan trailer', 'gehraiyaan full movie', 'gehraiyaan songs', 'gehraiyaan song', 'gehraiyaan movie', 'gehraiyaan review', 'gehraiyaan title song', 'gehraiyaan status', 'gehraiyaan new movie', 'gehraiyan', 'genraiyaan', 'amazon prime', 'prime video', 'prime video india', 'shorts']",24,Prime Video India
AYUwY2KyN8U,"Every Siblings Ever 😂 | Heart Warming Moments | Avinash Tiwary, Kritika Kamra | Bambai Meri Jaan",2025-01-31 09:13:51+00:00,5.383333333333334,31507,364,10,"['avinash tiwary', 'avinash tiwari', 'avinash tiwary movies', 'avinash tiwary new movie', 'avinash tiwary series', 'avinash tiwary web series', 'avinash tiwary bambai meri jaan', 'kritika kamra', 'kritika kamra movies', 'kritika kamra series', 'kritika kamra web series', 'kritika kamra new movie', 'bambai meri jaan kritika kamra', 'bambai meri jaan', 'bambai meri jaan web series', 'bambai meri jaan amazon prime', 'bambai meri jaan review', 'amazon prime', 'prime video', 'prime video india', 'sibling funny', 'funny']",24,Prime Video India
_CwHjvsYZZ4,Kiara Advani Shares A Romantic Secret ft. Kartik Aaryan🫰💙 | Satyaprem Ki Katha | #primevideoindia,2025-01-31 04:30:25+00:00,0.7666666666666667,434268,17937,45,"['kartik aaryan', 'kartik aaryan movies', 'kartik aaryan new movie trailer', 'kartik aaryan new movie', 'kartik aaryan funny scenes', 'kartik aaryan all movie', 'kiara advani', 'kiara advani movies', 'kiara advani songs', 'kiara advani wedding', 'kiara advani kartik aaryan movie', 'satyaprem ki katha', 'satyaprem ki katha movie', 'satyaprem ki katha trailer', 'satyaprem ki katha romantic scenes', 'satyaprem ki katha full movie', 'amazon prime', 'prime video india', 'prime video', 'shorts', 'funny', 'comedy', 'viral shorts']",24,Prime Video India
NNidg7MX4dE,Varun Dhawan Aur Janhvi Kapoor Ki Bawaal Jodi 🥰 | Bawaal | #primevideoindia,2025-01-30 15:30:15+00:00,0.6833333333333333,197782,6040,17,"['janhvi kapoor', 'janhvi kapoor movie', 'janhvi kapoor reel', 'janhvi kapoor movies', 'janhvi kapoor new movie', 'janhvi kapoor interview', 'janhvi kapoor home', 'varun dhawan', 'varun dhawan (film actor)', 'varun dhawan movies', 'varun dhawan new movie', 'citadel honey bunny varun dhawan', 'citadel varun dhawan', 'varun dhawan trailer', 'bawaal varun dhawan', 'janhvi kapoor varun dhawan', 'varun dhawan bawaal', 'bawaal janhvi kapoor', 'bawaal movie varun dhawan', 'janhvi kapoor bawaal', 'prime video', 'bawaal', 'amazon']",24,Prime Video India
5hUh97yeTWw,"Triptii Dimri, The Brightest Star 🤌 | Ananya Panday | Bad Newz | #primevideoindia",2025-01-30 13:30:08+00:00,0.43333333333333335,63230,1656,11,"['tripti dimri', 'tripti dimri movies', 'tripti dimri and vicky kaushal', 'tripti dimri new movie', 'vicky kaushal', 'ananya panday', 'vicky kaushal new movie', 'bad newz trailer', 'bad newz', 'bad newz movie full', 'bad newz movie', 'bad newz full movie in hindi 2024', 'bad newz tripti dimri', 'bad newz vicky kaushal', 'bad newz scene', 'bad newz movie scene', 'bad newz funny scene', 'bad newz comedy scene', 'amazon prime', 'prime video', 'prime video india', 'shorts', 'funny scene', 'comedy scene', 'funny shorts']",24,Prime Video India
T8tcAm_aBl8,Jaideep Ahlawat Crashes The Wedding In Paatal Lok Season 2 😱 | Prime Video India,2025-01-30 12:56:43+00:00,2.3666666666666667,571960,9302,167,"['hathiram chaudhary thug life', 'hathiram chaudhary best scene', 'paatal lok savage moments', 'paatal lok savage', 'paatal lok season 2 trailer', 'paatal lok', 'paatal lok trailer', 'paatal lok 2 trailer', 'paatal lok season 2', 'paatal lok season 2 release date', 'paatal lok 2', 'jaideep ahlawat', 'jaideep ahlawat paatal lok', 'savage scene', 'paatal lok season 2 update', 'latest on prime', 'amazon prime', 'prime video', 'prime video india', 'new show', 'paatal lok on prime', 'best web series', 'shorts', 'viral shorts']",24,Prime Video India
JX4BVomdZTM,Sreeleela's Practice Session 💪🏻 | Bhagavanth Kesari | #primevideoindia,2025-01-30 09:54:57+00:00,0.8666666666666667,1092852,25320,66,"['sreeleela', 'sreeleela movies', 'sreeleela movies hindi dubbed new 2024', 'sreeleela dance', 'sreeleela songs', 'sreeleela new movies', 'sreeleela mass dance', 'sreeleela dance song', 'sreeleela new movie', 'sreeleela latest telugu movies 2024', 'arjun rampal', 'arjun rampal movies', 'arjun rampal new movie', 'bhagavanth kesari', 'bhagavath kesari', 'bhagavanth kesari full movie', 'bhagavanth kesari telugu full movie', 'bhagavanth kesari movie', 'amazon prime', 'prime video', 'prime video india', 'shorts', 'action', 'fight']",24,Prime Video India
-abz9YVVroc,MANOJ BAJPAYEE got ARRESTED??😱 in The Family Man ft. Sharib Hashmi | Prime Video India,2025-01-30 07:33:08+00:00,3.316666666666667,851842,3557,38,"['manoj bajpayee', 'sharib hashmi', 'manoj bajpayee movies', 'manoj bajpayee new movie', 'manoj bajpayee web series', 'family man manoj bajpayee', 'family man jail scene', 'family man jail scene full episode', 'the family man', 'family man', 'the family man best dialogue', 'the family man scene', 'the family man series', 'the family man web series', 'the family man best scene', 'the family man season 3', 'the family man 3', 'amazon prime', 'prime video', 'prime video india', 'savage', 'jk family man', 'funny scene']",24,Prime Video India
